ModelName,ScenarioName,it,ErrorDist
ModelNSpike,ScenarioNoise,7,0.049286770641897799
ModelNSpike,ScenarioNoise,3,0.046331245812013248
ModelNSpike,ScenarioNoise,5,0.04906106757842648
ModelNSpike,ScenarioNoise,1,0.044635994688291561
ModelNSpike,ScenarioNoise,2,0.050749955483466384
ModelNSpike,ScenarioNoise,0,0.049662532785028808
ModelNSpike,ScenarioNoise,4,0.047500721958486335
ModelNSpike,ScenarioNoise,6,0.044952947295078628
ModelNSpike,ScenarioNoise,15,0.048247405667096871
ModelNSpike,ScenarioNoise,13,0.0505189362324008
ModelNSpike,ScenarioNoise,11,0.051023307953551374
ModelNSpike,ScenarioNoise,9,0.049172992342055161
ModelNSpike,ScenarioNoise,10,0.049056464053035737
ModelNSpike,ScenarioNoise,12,0.051367679414313722
ModelNSpike,ScenarioNoise,14,0.046642572051862528
ModelNSpike,ScenarioNoise,8,0.048064770468682391
ModelNSpike,ScenarioNoise,23,0.049336440009962478
ModelNSpike,ScenarioNoise,21,0.051273380722859557
ModelNSpike,ScenarioNoise,19,0.047874054696984455
ModelNSpike,ScenarioNoise,17,0.051179396217216913
ModelNSpike,ScenarioNoise,18,0.049326634725018879
ModelNSpike,ScenarioNoise,20,0.050033708183653422
ModelNSpike,ScenarioNoise,22,0.05095381930911129
ModelNSpike,ScenarioNoise,16,0.050049476117335887
ModelNSpike,ScenarioNoise,31,0.050049247102791752
ModelNSpike,ScenarioNoise,29,0.049339824826867759
ModelNSpike,ScenarioNoise,27,0.048624011350659441
ModelNSpike,ScenarioNoise,25,0.049061039190229333
ModelNSpike,ScenarioNoise,26,0.050088452689348674
ModelNSpike,ScenarioNoise,28,0.048183935820461217
ModelNSpike,ScenarioNoise,30,0.050784037778117873
ModelNSpike,ScenarioNoise,24,0.049704313699380512
ModelNSpike,ScenarioNoise,39,0.049661523473791713
ModelNSpike,ScenarioNoise,37,0.050768334485906473
ModelNSpike,ScenarioNoise,35,0.051398251578310607
ModelNSpike,ScenarioNoise,33,0.051807132847651913
ModelNSpike,ScenarioNoise,34,0.053567386444721005
ModelNSpike,ScenarioNoise,36,0.056410791625270934
ModelNSpike,ScenarioNoise,38,0.052013928643870749
ModelNSpike,ScenarioNoise,32,0.050374617370136821
ModelNSpike,ScenarioNoise,47,0.051875882778063605
ModelNSpike,ScenarioNoise,45,0.049592576342516348
ModelNSpike,ScenarioNoise,43,0.047534719104082676
ModelNSpike,ScenarioNoise,41,0.05120486687706826
ModelNSpike,ScenarioNoise,42,0.047785269337922133
ModelNSpike,ScenarioNoise,46,0.04642495091024651
ModelNSpike,ScenarioNoise,44,0.050347384625505497
ModelNSpike,ScenarioNoise,40,0.050935386882396176
ModelNSpike,ScenarioNoise,49,0.051752898842627001
ModelNSpike,ScenarioNoise,48,0.044966281695114317
ModelNSpike,ScenarioDistracters,0,0.05357294520372153
ModelNSpike,ScenarioDistracters,2,0.051194164573715534
ModelNSpike,ScenarioDistracters,4,0.050595416751369859
ModelNSpike,ScenarioDistracters,1,0.048300918440868978
ModelNSpike,ScenarioDistracters,7,0.054939144702953017
ModelNSpike,ScenarioDistracters,3,0.053593910455018441
ModelNSpike,ScenarioDistracters,5,0.053583893425315922
ModelNSpike,ScenarioDistracters,6,0.054718101147128044
ModelNSpike,ScenarioDistracters,8,0.05539973371460407
