ModelName,ScenarioName,routerType,it,ErrorDist
ModelNSpike,ScenarioControl,sequence,0,0.044192152717281837
ModelNSpike,ScenarioControl,sequence,4,0.044579184325392721
ModelNSpike,ScenarioControl,sequence,2,0.042144747792069517
ModelNSpike,ScenarioControl,sequence,6,0.040910878095368766
ModelNSpike,ScenarioControl,sequence,7,0.047371442479268937
ModelNSpike,ScenarioControl,sequence,1,0.046447512846065193
ModelNSpike,ScenarioControl,sequence,3,0.044215159726537681
ModelNSpike,ScenarioControl,sequence,5,0.041316255355400303
ModelNSpike,ScenarioControl,sequence,8,0.038852896258798945
ModelNSpike,ScenarioControl,sequence,12,0.042536982509361332
ModelNSpike,ScenarioControl,sequence,10,0.041399120381956575
ModelNSpike,ScenarioControl,sequence,15,0.040931875380181344
ModelNSpike,ScenarioControl,sequence,14,0.040631015494238122
ModelNSpike,ScenarioControl,sequence,9,0.039747517610305691
ModelNSpike,ScenarioControl,sequence,11,0.045694879000317601
ModelNSpike,ScenarioControl,sequence,13,0.04018842048193922
ModelNSpike,ScenarioControl,sequence,16,0.046447512846065193
ModelNSpike,ScenarioControl,sequence,20,0.041316255355400303
ModelNSpike,ScenarioControl,sequence,18,0.044215159726537681
ModelNSpike,ScenarioControl,sequence,23,0.043212897320252068
ModelNSpike,ScenarioControl,sequence,22,0.047371442479268937
ModelNSpike,ScenarioControl,sequence,17,0.042144747792069517
ModelNSpike,ScenarioControl,sequence,19,0.044579184325392721
ModelNSpike,ScenarioControl,sequence,21,0.040910878095368766
ModelNSpike,ScenarioControl,sequence,31,0.037598963238210596
ModelNSpike,ScenarioControl,sequence,24,0.039747517610305691
ModelNSpike,ScenarioControl,sequence,28,0.04018842048193922
ModelNSpike,ScenarioControl,sequence,26,0.045694879000317601
ModelNSpike,ScenarioControl,sequence,30,0.040931875380181344
ModelNSpike,ScenarioControl,sequence,25,0.041399120381956575
ModelNSpike,ScenarioControl,sequence,27,0.042536982509361332
ModelNSpike,ScenarioControl,sequence,29,0.040631015494238122
ModelNSpike,ScenarioControl,sequence,39,0.041702437945582607
ModelNSpike,ScenarioControl,sequence,32,0.042144747792069517
ModelNSpike,ScenarioControl,sequence,36,0.040910878095368766
ModelNSpike,ScenarioControl,sequence,34,0.044579184325392721
ModelNSpike,ScenarioControl,sequence,38,0.043212897320252068
ModelNSpike,ScenarioControl,sequence,33,0.044215159726537681
ModelNSpike,ScenarioControl,sequence,35,0.041316255355400303
ModelNSpike,ScenarioControl,sequence,37,0.047371442479268937
ModelNSpike,ScenarioControl,sequence,47,0.039174092545095136
ModelNSpike,ScenarioControl,sequence,44,0.040631015494238122
ModelNSpike,ScenarioControl,sequence,42,0.042536982509361332
ModelNSpike,ScenarioControl,sequence,40,0.041399120381956575
ModelNSpike,ScenarioControl,sequence,46,0.037598963238210596
ModelNSpike,ScenarioControl,sequence,45,0.040931875380181344
ModelNSpike,ScenarioControl,sequence,43,0.04018842048193922
ModelNSpike,ScenarioControl,sequence,41,0.045694879000317601
ModelNSpike,ScenarioControl,sequence,48,0.044215159726537681
ModelNSpike,ScenarioControl,sequence,49,0.044579184325392721
ModelNSpike,ScenarioControl,sequenceMixte,2,0.043882899415824635
ModelNSpike,ScenarioControl,sequenceMixte,6,0.038751631180013922
ModelNSpike,ScenarioControl,sequenceMixte,4,0.04095585231933184
ModelNSpike,ScenarioControl,sequenceMixte,0,0.042748227295229056
ModelNSpike,ScenarioControl,sequenceMixte,3,0.0396967088203031
ModelNSpike,ScenarioControl,sequenceMixte,5,0.039347142758763769
ModelNSpike,ScenarioControl,sequenceMixte,7,0.040046347029670769
ModelNSpike,ScenarioControl,sequenceMixte,1,0.042913703914427836
ModelNSpike,ScenarioControl,sequenceMixte,10,0.038434784594596823
ModelNSpike,ScenarioControl,sequenceMixte,14,0.044498424534541156
ModelNSpike,ScenarioControl,sequenceMixte,12,0.043468777618205584
ModelNSpike,ScenarioControl,sequenceMixte,8,0.039612456914145083
ModelNSpike,ScenarioControl,sequenceMixte,13,0.042868350135663813
ModelNSpike,ScenarioControl,sequenceMixte,15,0.039528321776749885
ModelNSpike,ScenarioControl,sequenceMixte,11,0.042954558934915059
ModelNSpike,ScenarioControl,sequenceMixte,9,0.04170319363034429
ModelNSpike,ScenarioControl,sequenceMixte,16,0.041239637974413206
ModelNSpike,ScenarioControl,sequenceMixte,18,0.041894521544245
ModelNSpike,ScenarioControl,sequenceMixte,22,0.03911535918034062
ModelNSpike,ScenarioControl,sequenceMixte,20,0.038236513391227481
ModelNSpike,ScenarioControl,sequenceMixte,23,0.040073049342982947
ModelNSpike,ScenarioControl,sequenceMixte,21,0.040857019278651693
ModelNSpike,ScenarioControl,sequenceMixte,19,0.045414010905523959
ModelNSpike,ScenarioControl,sequenceMixte,17,0.043319984250869997
ModelNSpike,ScenarioControl,sequenceMixte,24,0.044913744067434758
ModelNSpike,ScenarioControl,sequenceMixte,26,0.040399112766511452
ModelNSpike,ScenarioControl,sequenceMixte,30,0.03901030185968149
ModelNSpike,ScenarioControl,sequenceMixte,28,0.042058008180564842
ModelNSpike,ScenarioControl,sequenceMixte,31,0.046163962061610969
ModelNSpike,ScenarioControl,sequenceMixte,29,0.044234385496027193
ModelNSpike,ScenarioControl,sequenceMixte,25,0.043278375474635172
ModelNSpike,ScenarioControl,sequenceMixte,27,0.039474966813478507
ModelNSpike,ScenarioControl,sequenceMixte,32,0.04005270513065106
ModelNSpike,ScenarioControl,sequenceMixte,34,0.039780640458673709
ModelNSpike,ScenarioControl,sequenceMixte,38,0.041234837366077262
ModelNSpike,ScenarioControl,sequenceMixte,36,0.044161602004906798
ModelNSpike,ScenarioControl,sequenceMixte,39,0.042912926537042956
ModelNSpike,ScenarioControl,sequenceMixte,37,0.046823391192809545
ModelNSpike,ScenarioControl,sequenceMixte,33,0.042696169555611868
ModelNSpike,ScenarioControl,sequenceMixte,35,0.04459354147275673
ModelNSpike,ScenarioControl,sequenceMixte,40,0.039542269302186364
ModelNSpike,ScenarioControl,sequenceMixte,42,0.041012441855560744
ModelNSpike,ScenarioControl,sequenceMixte,46,0.040152376533364037
ModelNSpike,ScenarioControl,sequenceMixte,44,0.042214063149911038
ModelNSpike,ScenarioControl,sequenceMixte,47,0.043712405112834349
ModelNSpike,ScenarioControl,sequenceMixte,41,0.042632095749780996
ModelNSpike,ScenarioControl,sequenceMixte,45,0.039606522344545182
ModelNSpike,ScenarioControl,sequenceMixte,43,0.044145078314640832
ModelNSpike,ScenarioControl,sequenceMixte,48,0.043339269864166759
ModelNSpike,ScenarioControl,sequenceMixte,49,0.044554037633290564
