ModelName,ScenarioName,routerType,it,ErrorDist
ModelNSpike,ScenarioControl,sequence,0,0.051564764778568285
ModelNSpike,ScenarioControl,sequence,2,0.04694589677380711
ModelNSpike,ScenarioControl,sequence,4,0.050459110554303611
ModelNSpike,ScenarioControl,sequence,6,0.042526309814742529
ModelNSpike,ScenarioControl,sequence,1,0.048847005654320971
ModelNSpike,ScenarioControl,sequence,3,0.048704989847826681
ModelNSpike,ScenarioControl,sequence,5,0.050021021691129465
ModelNSpike,ScenarioControl,sequence,7,0.048236504538787923
ModelNSpike,ScenarioControl,sequence,8,0.040288159327208854
ModelNSpike,ScenarioControl,sequence,10,0.048314540418581207
ModelNSpike,ScenarioControl,sequence,12,0.048340898076248522
ModelNSpike,ScenarioControl,sequence,14,0.048184607961056995
ModelNSpike,ScenarioControl,sequence,9,0.053878861909113736
ModelNSpike,ScenarioControl,sequence,11,0.048546064042359539
ModelNSpike,ScenarioControl,sequence,13,0.053632862808962727
ModelNSpike,ScenarioControl,sequence,15,0.04722007548996527
ModelNSpike,ScenarioControl,sequence,16,0.048847005654320971
ModelNSpike,ScenarioControl,sequence,18,0.048704989847826681
ModelNSpike,ScenarioControl,sequence,20,0.050021021691129465
ModelNSpike,ScenarioControl,sequence,22,0.048236504538787923
ModelNSpike,ScenarioControl,sequence,17,0.04694589677380711
ModelNSpike,ScenarioControl,sequence,19,0.050459110554303611
ModelNSpike,ScenarioControl,sequence,21,0.042526309814742529
ModelNSpike,ScenarioControl,sequence,23,0.053492568995935741
ModelNSpike,ScenarioControl,sequence,24,0.053878861909113736
ModelNSpike,ScenarioControl,sequence,26,0.048546064042359539
ModelNSpike,ScenarioControl,sequence,28,0.053632862808962727
ModelNSpike,ScenarioControl,sequence,30,0.04722007548996527
ModelNSpike,ScenarioControl,sequence,25,0.048314540418581207
ModelNSpike,ScenarioControl,sequence,27,0.048340898076248522
ModelNSpike,ScenarioControl,sequence,29,0.048184607961056995
