ModelName,ScenarioName,routerType,it,ErrorDist
ModelNSpike,ScenarioControl,sequence,0,0.036564157390555352
ModelNSpike,ScenarioControl,sequence,4,0.039428208118180923
ModelNSpike,ScenarioControl,sequence,2,0.042136063435003014
ModelNSpike,ScenarioControl,sequence,6,0.037887223902250647
ModelNSpike,ScenarioControl,sequence,1,0.035968328058815058
ModelNSpike,ScenarioControl,sequence,3,0.036997834841510528
ModelNSpike,ScenarioControl,sequence,5,0.040315212501186033
ModelNSpike,ScenarioControl,sequence,7,0.036740673568809591
ModelNSpike,ScenarioControl,sequence,8,0.036419692843983172
ModelNSpike,ScenarioControl,sequence,12,0.038062148801640605
ModelNSpike,ScenarioControl,sequence,10,0.037308878943926531
ModelNSpike,ScenarioControl,sequence,14,0.037815148675559025
ModelNSpike,ScenarioControl,sequence,9,0.035595596518610335
ModelNSpike,ScenarioControl,sequence,11,0.037305817027161584
ModelNSpike,ScenarioControl,sequence,13,0.035197316055348017
ModelNSpike,ScenarioControl,sequence,15,0.038376376249595189
ModelNSpike,ScenarioControl,sequence,16,0.035968328058815058
ModelNSpike,ScenarioControl,sequence,20,0.040315212501186033
ModelNSpike,ScenarioControl,sequence,18,0.036997834841510528
ModelNSpike,ScenarioControl,sequence,22,0.036740673568809591
ModelNSpike,ScenarioControl,sequence,17,0.042136063435003014
ModelNSpike,ScenarioControl,sequence,19,0.039428208118180923
ModelNSpike,ScenarioControl,sequence,21,0.037887223902250647
ModelNSpike,ScenarioControl,sequence,23,0.034161342083959476
ModelNSpike,ScenarioControl,sequence,24,0.035595596518610335
ModelNSpike,ScenarioControl,sequence,28,0.035197316055348017
ModelNSpike,ScenarioControl,sequence,26,0.037305817027161584
ModelNSpike,ScenarioControl,sequence,30,0.038376376249595189
ModelNSpike,ScenarioControl,sequence,25,0.037308878943926531
ModelNSpike,ScenarioControl,sequence,27,0.038062148801640605
ModelNSpike,ScenarioControl,sequence,29,0.037815148675559025
ModelNSpike,ScenarioControl,sequence,31,0.034637867028610866
ModelNSpike,ScenarioControl,sequence,32,0.042136063435003014
ModelNSpike,ScenarioControl,sequence,36,0.037887223902250647
ModelNSpike,ScenarioControl,sequence,34,0.039428208118180923
ModelNSpike,ScenarioControl,sequence,38,0.034161342083959476
ModelNSpike,ScenarioControl,sequence,33,0.036997834841510528
ModelNSpike,ScenarioControl,sequence,37,0.036740673568809591
ModelNSpike,ScenarioControl,sequence,35,0.040315212501186033
ModelNSpike,ScenarioControl,sequence,39,0.038383517497179657
ModelNSpike,ScenarioControl,sequence,40,0.037308878943926531
ModelNSpike,ScenarioControl,sequence,44,0.037815148675559025
ModelNSpike,ScenarioControl,sequence,42,0.038062148801640605
ModelNSpike,ScenarioControl,sequence,46,0.034637867028610866
ModelNSpike,ScenarioControl,sequence,41,0.037305817027161584
ModelNSpike,ScenarioControl,sequence,43,0.035197316055348017
ModelNSpike,ScenarioControl,sequence,45,0.038376376249595189
ModelNSpike,ScenarioControl,sequence,47,0.03759134222933859
ModelNSpike,ScenarioControl,sequence,48,0.036997834841510528
ModelNSpike,ScenarioControl,sequence,49,0.039428208118180923
ModelNSpike,ScenarioControl,sequenceMixte,2,0.036391214679421434
ModelNSpike,ScenarioControl,sequenceMixte,4,0.037545611167609245
ModelNSpike,ScenarioControl,sequenceMixte,0,0.040547553660207951
ModelNSpike,ScenarioControl,sequenceMixte,6,0.036894584182868409
ModelNSpike,ScenarioControl,sequenceMixte,1,0.03629340756159484
ModelNSpike,ScenarioControl,sequenceMixte,3,0.036679864716214754
ModelNSpike,ScenarioControl,sequenceMixte,7,0.036991045549990179
ModelNSpike,ScenarioControl,sequenceMixte,5,0.04008301254374063
ModelNSpike,ScenarioControl,sequenceMixte,10,0.036788379989611354
ModelNSpike,ScenarioControl,sequenceMixte,12,0.036525999090849096
ModelNSpike,ScenarioControl,sequenceMixte,14,0.038257519403082758
ModelNSpike,ScenarioControl,sequenceMixte,8,0.038097555814583926
ModelNSpike,ScenarioControl,sequenceMixte,9,0.035209503879612157
ModelNSpike,ScenarioControl,sequenceMixte,11,0.038994686530049533
ModelNSpike,ScenarioControl,sequenceMixte,15,0.036438960161520269
ModelNSpike,ScenarioControl,sequenceMixte,13,0.037521015149816477
ModelNSpike,ScenarioControl,sequenceMixte,18,0.037719286390672527
ModelNSpike,ScenarioControl,sequenceMixte,20,0.037520792363232761
ModelNSpike,ScenarioControl,sequenceMixte,22,0.037881029316801061
ModelNSpike,ScenarioControl,sequenceMixte,16,0.037749194699032526
ModelNSpike,ScenarioControl,sequenceMixte,17,0.036589029311666521
ModelNSpike,ScenarioControl,sequenceMixte,19,0.037320607423294357
ModelNSpike,ScenarioControl,sequenceMixte,21,0.036007335157669559
ModelNSpike,ScenarioControl,sequenceMixte,23,0.036207721553988673
ModelNSpike,ScenarioControl,sequenceMixte,26,0.037458101658233552
ModelNSpike,ScenarioControl,sequenceMixte,28,0.040074985509342805
ModelNSpike,ScenarioControl,sequenceMixte,30,0.03645008828554399
ModelNSpike,ScenarioControl,sequenceMixte,24,0.034302227885878209
ModelNSpike,ScenarioControl,sequenceMixte,25,0.03864987339061348
ModelNSpike,ScenarioControl,sequenceMixte,27,0.039088042232530554
ModelNSpike,ScenarioControl,sequenceMixte,29,0.040424917675464474
ModelNSpike,ScenarioControl,sequenceMixte,31,0.036926940024011319
ModelNSpike,ScenarioControl,sequenceMixte,34,0.039069065306464264
ModelNSpike,ScenarioControl,sequenceMixte,36,0.036935835781626472
ModelNSpike,ScenarioControl,sequenceMixte,38,0.037610837065127925
ModelNSpike,ScenarioControl,sequenceMixte,32,0.03665129843071286
ModelNSpike,ScenarioControl,sequenceMixte,33,0.038376376526204604
ModelNSpike,ScenarioControl,sequenceMixte,35,0.037272809255085075
ModelNSpike,ScenarioControl,sequenceMixte,37,0.036828222741909687
ModelNSpike,ScenarioControl,sequenceMixte,39,0.039980949024059131
ModelNSpike,ScenarioControl,sequenceMixte,42,0.036692734878543062
ModelNSpike,ScenarioControl,sequenceMixte,44,0.038764862716446954
ModelNSpike,ScenarioControl,sequenceMixte,46,0.035370626709467674
ModelNSpike,ScenarioControl,sequenceMixte,40,0.036945494973441788
ModelNSpike,ScenarioControl,sequenceMixte,43,0.037778941798187013
ModelNSpike,ScenarioControl,sequenceMixte,47,0.038374901092618402
ModelNSpike,ScenarioControl,sequenceMixte,41,0.037110888718354815
ModelNSpike,ScenarioControl,sequenceMixte,45,0.037065574064932737
ModelNSpike,ScenarioControl,sequenceMixte,48,0.036992468384992046
ModelNSpike,ScenarioControl,sequenceMixte,49,0.037753011187535303
