ModelName,ScenarioName,routerType,it,ErrorDist
ModelNSpike,ScenarioControl,sequenceMixte,35,0.040351586017580938
ModelNSpike,ScenarioControl,sequenceMixte,32,0.038959560458600474
ModelNSpike,ScenarioControl,sequenceMixte,36,0.040657314303571022
ModelNSpike,ScenarioControl,sequenceMixte,34,0.038285341048214815
ModelNSpike,ScenarioControl,sequenceMixte,33,0.038701537428614714
ModelNSpike,ScenarioControl,sequenceMixte,47,0.038982391211208667
ModelNSpike,ScenarioControl,sequenceMixte,46,0.042369757888407675
ModelNSpike,ScenarioControl,sequenceMixte,45,0.037891160818527142
ModelNSpike,ScenarioControl,sequenceMixte,43,0.041118806866656851
ModelNSpike,ScenarioControl,sequenceMixte,41,0.038708464982952537
ModelNSpike,ScenarioControl,sequenceMixte,40,0.039417565384620712
ModelNSpike,ScenarioControl,sequenceMixte,44,0.039067585347004455
ModelNSpike,ScenarioControl,sequenceMixte,42,0.039529490439461919
ModelNSpike,ScenarioControl,sequenceMixte,49,0.038111569904906974
ModelNSpike,ScenarioControl,sequenceMixte,48,0.040944560959768228
