ModelName,ScenarioName,it,ErrorDist
ModelNSpike,ScenarioNoise,5,0.053179354930381138
ModelNSpike,ScenarioNoise,7,0.05034971047111618
ModelNSpike,ScenarioNoise,1,0.054282324791835201
ModelNSpike,ScenarioNoise,3,0.051798748129412327
ModelNSpike,ScenarioNoise,6,0.053178381655355579
ModelNSpike,ScenarioNoise,2,0.054492008828825142
ModelNSpike,ScenarioNoise,0,0.047850886215464308
ModelNSpike,ScenarioNoise,4,0.050013409857501238
ModelNSpike,ScenarioNoise,15,0.048146677842879987
ModelNSpike,ScenarioNoise,13,0.048938558689482894
ModelNSpike,ScenarioNoise,9,0.054031742714281329
ModelNSpike,ScenarioNoise,11,0.049181693573797987
ModelNSpike,ScenarioNoise,14,0.052558694452546399
ModelNSpike,ScenarioNoise,10,0.050993979519463363
ModelNSpike,ScenarioNoise,8,0.047524817593146841
ModelNSpike,ScenarioNoise,12,0.047616281950475688
ModelNSpike,ScenarioNoise,21,0.047003041947923471
ModelNSpike,ScenarioNoise,23,0.05033247014431648
ModelNSpike,ScenarioNoise,17,0.048905952887539739
ModelNSpike,ScenarioNoise,19,0.050017554597112886
ModelNSpike,ScenarioNoise,22,0.048846549361953664
ModelNSpike,ScenarioNoise,18,0.049737159894264901
ModelNSpike,ScenarioNoise,16,0.045386806093253552
ModelNSpike,ScenarioNoise,20,0.051822230730830129
ModelNSpike,ScenarioNoise,29,0.049716334098591754
ModelNSpike,ScenarioNoise,31,0.050493652471667386
ModelNSpike,ScenarioNoise,25,0.048648878397318539
ModelNSpike,ScenarioNoise,27,0.050450124277434366
ModelNSpike,ScenarioNoise,30,0.050806866957642818
ModelNSpike,ScenarioNoise,26,0.050706276016921015
ModelNSpike,ScenarioNoise,24,0.047924700117341339
ModelNSpike,ScenarioNoise,28,0.054610812588743875
ModelNSpike,ScenarioNoise,37,0.048530192919677223
ModelNSpike,ScenarioNoise,39,0.047700159381009431
ModelNSpike,ScenarioNoise,33,0.048905861784685187
ModelNSpike,ScenarioNoise,35,0.049313642698570317
ModelNSpike,ScenarioNoise,38,0.049503667193229184
ModelNSpike,ScenarioNoise,34,0.052587542692703049
ModelNSpike,ScenarioNoise,32,0.051145595321599617
ModelNSpike,ScenarioNoise,36,0.053182354813839684
ModelNSpike,ScenarioNoise,45,0.049788362094561306
ModelNSpike,ScenarioNoise,47,0.049547964572589365
ModelNSpike,ScenarioNoise,41,0.049117736955619225
ModelNSpike,ScenarioNoise,43,0.051261023550523359
ModelNSpike,ScenarioNoise,46,0.048584895646621711
ModelNSpike,ScenarioNoise,42,0.050709799562595755
ModelNSpike,ScenarioNoise,44,0.047067522265979038
ModelNSpike,ScenarioNoise,40,0.050307390048522707
ModelNSpike,ScenarioNoise,49,0.049303186972618228
ModelNSpike,ScenarioNoise,48,0.052335526283548622
ModelNSpike,ScenarioDistracters,7,0.050000917605915199
ModelNSpike,ScenarioDistracters,5,0.047265979091840458
ModelNSpike,ScenarioDistracters,3,0.047688508536417366
ModelNSpike,ScenarioDistracters,1,0.047282065452586231
ModelNSpike,ScenarioDistracters,6,0.051402022606451124
ModelNSpike,ScenarioDistracters,2,0.046754301713911595
ModelNSpike,ScenarioDistracters,4,0.048985006837433433
ModelNSpike,ScenarioDistracters,0,0.047909103238790891
ModelNSpike,ScenarioDistracters,15,0.05543406494242497
ModelNSpike,ScenarioDistracters,13,0.059623643023818437
ModelNSpike,ScenarioDistracters,11,0.060823878914392296
ModelNSpike,ScenarioDistracters,14,0.056181471358234203
ModelNSpike,ScenarioDistracters,10,0.060025774146852298
ModelNSpike,ScenarioDistracters,12,0.057576756732350839
ModelNSpike,ScenarioDistracters,9,0.057535517929212542
ModelNSpike,ScenarioDistracters,8,0.057686103044110829
ModelNSpike,ScenarioDistracters,23,0.048989367085038309
ModelNSpike,ScenarioDistracters,21,0.047054572829658158
ModelNSpike,ScenarioDistracters,19,0.047363547683787942
ModelNSpike,ScenarioDistracters,22,0.054739119609998908
ModelNSpike,ScenarioDistracters,18,0.049753388641458979
ModelNSpike,ScenarioDistracters,20,0.04689721906336642
ModelNSpike,ScenarioDistracters,17,0.050067698514868746
ModelNSpike,ScenarioDistracters,16,0.050356217533314984
ModelNSpike,ScenarioDistracters,31,0.068339434368406726
ModelNSpike,ScenarioDistracters,29,0.066818578344170709
ModelNSpike,ScenarioDistracters,27,0.066332460780115815
ModelNSpike,ScenarioDistracters,30,0.058544831251471946
ModelNSpike,ScenarioDistracters,26,0.062420212240815683
ModelNSpike,ScenarioDistracters,28,0.065444313060910697
ModelNSpike,ScenarioDistracters,25,0.064157094999715933
ModelNSpike,ScenarioDistracters,24,0.067046050442184008
ModelNSpike,ScenarioDistracters,39,0.060590580880422608
ModelNSpike,ScenarioDistracters,37,0.068159260897508331
ModelNSpike,ScenarioDistracters,35,0.063534034765258582
ModelNSpike,ScenarioDistracters,38,0.061202979092621235
ModelNSpike,ScenarioDistracters,34,0.065947377941719995
ModelNSpike,ScenarioDistracters,36,0.064294663429156809
ModelNSpike,ScenarioDistracters,33,0.059109980717219804
ModelNSpike,ScenarioDistracters,32,0.063369836838100282
ModelNSpike,ScenarioDistracters,47,0.054095457225626038
ModelNSpike,ScenarioDistracters,45,0.056874985039482406
ModelNSpike,ScenarioDistracters,43,0.052969585813884321
ModelNSpike,ScenarioDistracters,46,0.050177911118979249
ModelNSpike,ScenarioDistracters,42,0.054689583808230628
ModelNSpike,ScenarioDistracters,41,0.050363399949529264
ModelNSpike,ScenarioDistracters,44,0.057353168713239928
ModelNSpike,ScenarioDistracters,40,0.051290556003328519
ModelNSpike,ScenarioDistracters,49,0.055162681660225296
ModelNSpike,ScenarioDistracters,48,0.053299845087636091
