ModelName,ScenarioName,it,ErrorDist
ModelNSpike,ScenarioNoise,3,0.06451261392064303
ModelNSpike,ScenarioNoise,7,0.05954552259150632
ModelNSpike,ScenarioNoise,1,0.054597851182367235
ModelNSpike,ScenarioNoise,5,0.056939219535190683
ModelNSpike,ScenarioNoise,0,0.06299699003597585
ModelNSpike,ScenarioNoise,2,0.065472704662015449
ModelNSpike,ScenarioNoise,6,0.071600434583558928
ModelNSpike,ScenarioNoise,4,0.0634212463499364
ModelNSpike,ScenarioNoise,11,0.052973278940605419
ModelNSpike,ScenarioNoise,15,0.42211312762053615
ModelNSpike,ScenarioNoise,9,0.054918629075952199
ModelNSpike,ScenarioNoise,13,0.052340312470767029
ModelNSpike,ScenarioNoise,10,0.060438715819679495
ModelNSpike,ScenarioNoise,8,0.057057133909481632
ModelNSpike,ScenarioNoise,14,0.063347572011778028
ModelNSpike,ScenarioNoise,12,0.060189660036091601
ModelNSpike,ScenarioNoise,19,0.06275449664485197
ModelNSpike,ScenarioNoise,23,0.056809611327208832
ModelNSpike,ScenarioNoise,17,0.053336120308192639
ModelNSpike,ScenarioNoise,21,0.059177536955323552
ModelNSpike,ScenarioNoise,18,0.057320284816340716
ModelNSpike,ScenarioNoise,16,0.056828858126323739
ModelNSpike,ScenarioNoise,22,0.057384048846068354
ModelNSpike,ScenarioNoise,20,0.061094809838904238
ModelNSpike,ScenarioNoise,27,0.11588470649720291
ModelNSpike,ScenarioNoise,31,0.060342519366573782
ModelNSpike,ScenarioNoise,25,0.064924308095464581
ModelNSpike,ScenarioNoise,29,0.062419241487788719
ModelNSpike,ScenarioNoise,26,0.066067045210628256
ModelNSpike,ScenarioNoise,24,0.059714401501925113
ModelNSpike,ScenarioNoise,30,0.055099241861650571
ModelNSpike,ScenarioNoise,28,0.06048640029365128
ModelNSpike,ScenarioNoise,35,0.055704449531502664
ModelNSpike,ScenarioNoise,39,0.056364786783176017
ModelNSpike,ScenarioNoise,33,0.05587447332624184
ModelNSpike,ScenarioNoise,37,0.064943282990002682
ModelNSpike,ScenarioNoise,34,0.056435212212637427
ModelNSpike,ScenarioNoise,32,0.055684769332678796
ModelNSpike,ScenarioNoise,38,0.055595309888095183
ModelNSpike,ScenarioNoise,36,0.24593736556477608
ModelNSpike,ScenarioNoise,43,0.058388447708631323
ModelNSpike,ScenarioNoise,47,0.056896737085699388
ModelNSpike,ScenarioNoise,41,0.054070240437661204
ModelNSpike,ScenarioNoise,45,0.055573712478842775
ModelNSpike,ScenarioNoise,46,0.056106171125814647
ModelNSpike,ScenarioNoise,40,0.06078638927530642
ModelNSpike,ScenarioNoise,44,0.053445633449442503
ModelNSpike,ScenarioNoise,42,0.057374247042099071
ModelNSpike,ScenarioNoise,49,0.065493608521780822
ModelNSpike,ScenarioNoise,48,0.063974521843569901
ModelNSpike,ScenarioDistracters,3,0.079637506722447127
ModelNSpike,ScenarioDistracters,5,0.063820028910847995
ModelNSpike,ScenarioDistracters,7,0.074237047410091989
ModelNSpike,ScenarioDistracters,1,0.062594811832891992
ModelNSpike,ScenarioDistracters,6,0.078689672481058404
ModelNSpike,ScenarioDistracters,0,0.065856043235975506
ModelNSpike,ScenarioDistracters,2,0.066270004617138889
ModelNSpike,ScenarioDistracters,4,0.07750933432395439
ModelNSpike,ScenarioDistracters,13,0.055843791844627164
ModelNSpike,ScenarioDistracters,15,0.061582013581487939
ModelNSpike,ScenarioDistracters,11,0.43972571596847887
ModelNSpike,ScenarioDistracters,14,0.06634478315973788
ModelNSpike,ScenarioDistracters,9,0.062384118323582059
ModelNSpike,ScenarioDistracters,10,0.072285575459120704
ModelNSpike,ScenarioDistracters,8,0.068645907979105497
ModelNSpike,ScenarioDistracters,12,0.42820861666265891
ModelNSpike,ScenarioDistracters,21,0.07259728288150992
ModelNSpike,ScenarioDistracters,23,0.062189590024175775
ModelNSpike,ScenarioDistracters,19,0.066702497951159512
ModelNSpike,ScenarioDistracters,17,0.071453269874678288
ModelNSpike,ScenarioDistracters,22,0.0694421102283381
ModelNSpike,ScenarioDistracters,18,0.060850395450488204
ModelNSpike,ScenarioDistracters,16,0.071572980679336165
ModelNSpike,ScenarioDistracters,20,0.065120827028246273
ModelNSpike,ScenarioDistracters,27,0.06974269730296756
ModelNSpike,ScenarioDistracters,29,0.074984395752882363
ModelNSpike,ScenarioDistracters,31,0.066216639872102009
ModelNSpike,ScenarioDistracters,25,0.071364799642164647
ModelNSpike,ScenarioDistracters,30,0.065799835441777962
ModelNSpike,ScenarioDistracters,26,0.075829281791104416
ModelNSpike,ScenarioDistracters,24,0.073631952068579754
ModelNSpike,ScenarioDistracters,28,0.068913807135278074
ModelNSpike,ScenarioDistracters,35,0.060973017445617429
ModelNSpike,ScenarioDistracters,37,0.065508721890268157
ModelNSpike,ScenarioDistracters,39,0.074654740075015394
ModelNSpike,ScenarioDistracters,33,0.092743953044017419
ModelNSpike,ScenarioDistracters,38,0.084038469395140813
ModelNSpike,ScenarioDistracters,34,0.073063875280297647
ModelNSpike,ScenarioDistracters,32,0.090107260672580305
ModelNSpike,ScenarioDistracters,36,0.063811738274655305
ModelNSpike,ScenarioDistracters,43,0.061047364606349172
ModelNSpike,ScenarioDistracters,47,0.060020510731512988
ModelNSpike,ScenarioDistracters,45,0.065505639825520143
ModelNSpike,ScenarioDistracters,41,0.055813451813782583
ModelNSpike,ScenarioDistracters,46,0.063113022748467834
ModelNSpike,ScenarioDistracters,42,0.066059716368008572
ModelNSpike,ScenarioDistracters,40,0.065710837726134785
ModelNSpike,ScenarioDistracters,44,0.058628329431888289
ModelNSpike,ScenarioDistracters,49,0.073197481705066986
ModelNSpike,ScenarioDistracters,48,0.084437043952065208
