ModelName,ScenarioName,it,ErrorDist
ModelNSpike,ScenarioDistracters,0,0.046045989696710012
ModelNSpike,ScenarioDistracters,2,0.052771252604263338
ModelNSpike,ScenarioDistracters,4,0.056718402711455645
ModelNSpike,ScenarioDistracters,6,0.055000499319732818
ModelNSpike,ScenarioDistracters,1,0.25633759990161625
ModelNSpike,ScenarioDistracters,3,0.049242793711652279
ModelNSpike,ScenarioDistracters,7,0.044433532295198572
ModelNSpike,ScenarioDistracters,5,0.048767604088608474
ModelNSpike,ScenarioDistracters,8,0.070052363532441611
ModelNSpike,ScenarioDistracters,10,0.078749570073633021
ModelNSpike,ScenarioDistracters,12,0.071163664123066697
ModelNSpike,ScenarioDistracters,14,0.049622663277314773
ModelNSpike,ScenarioDistracters,9,0.055001723533528189
ModelNSpike,ScenarioDistracters,11,0.053713033303028665
ModelNSpike,ScenarioDistracters,15,0.056261331399069366
ModelNSpike,ScenarioDistracters,13,0.05196365730926418
ModelNSpike,ScenarioDistracters,16,0.047199558458729758
ModelNSpike,ScenarioDistracters,18,0.054324333641376094
ModelNSpike,ScenarioDistracters,20,0.063862062470272887
ModelNSpike,ScenarioDistracters,22,0.044049290907704819
ModelNSpike,ScenarioDistracters,17,0.047373592239187308
ModelNSpike,ScenarioDistracters,19,0.050312822740744619
ModelNSpike,ScenarioDistracters,23,0.055299227929037617
ModelNSpike,ScenarioDistracters,21,0.072815299540065145
ModelNSpike,ScenarioDistracters,24,0.048843759245878068
ModelNSpike,ScenarioDistracters,26,0.25535314663772857
ModelNSpike,ScenarioDistracters,28,0.050713813347570004
ModelNSpike,ScenarioDistracters,30,0.048996444056445841
ModelNSpike,ScenarioDistracters,25,0.052492225118454722
ModelNSpike,ScenarioDistracters,27,0.049081226412888777
ModelNSpike,ScenarioDistracters,31,0.059555015113599667
ModelNSpike,ScenarioDistracters,29,0.048111497976163833
ModelNSpike,ScenarioDistracters,32,0.049504938511236614
ModelNSpike,ScenarioDistracters,34,0.050285677045609135
ModelNSpike,ScenarioDistracters,36,0.055623237483092038
ModelNSpike,ScenarioDistracters,38,0.048783391888278703
ModelNSpike,ScenarioDistracters,33,0.055947176614058583
ModelNSpike,ScenarioDistracters,39,0.049847667768215254
ModelNSpike,ScenarioDistracters,35,0.069140142213219527
ModelNSpike,ScenarioDistracters,37,0.060696839049843368
ModelNSpike,ScenarioDistracters,40,0.048852762781669182
ModelNSpike,ScenarioDistracters,42,0.066675856700486646
ModelNSpike,ScenarioDistracters,44,0.050477956306020984
ModelNSpike,ScenarioDistracters,46,0.066888489996256156
ModelNSpike,ScenarioDistracters,41,0.047696374163470237
ModelNSpike,ScenarioDistracters,45,0.056642124505953725
ModelNSpike,ScenarioDistracters,47,0.040001930328238178
ModelNSpike,ScenarioDistracters,43,0.048959236599784475
ModelNSpike,ScenarioDistracters,48,0.056421737339752379
ModelNSpike,ScenarioDistracters,49,0.061006195622428587
