ModelName,ScenarioName,routerType,it,ErrorDist
ModelNSpike,ScenarioControl,sequenceShortMixte,15,0.037004560844360788
ModelNSpike,ScenarioControl,sequenceShortMixte,9,0.037300592334378567
ModelNSpike,ScenarioControl,sequenceShortMixte,16,0.036724910611372494
ModelNSpike,ScenarioControl,sequenceShortMixte,22,0.037484041165202674
ModelNSpike,ScenarioControl,sequenceShortMixte,20,0.036709431492618606
ModelNSpike,ScenarioControl,sequenceShortMixte,18,0.038190975463072367
ModelNSpike,ScenarioControl,sequenceShortMixte,21,0.038958021814882185
ModelNSpike,ScenarioControl,sequenceShortMixte,19,0.037393770570217269
ModelNSpike,ScenarioControl,sequenceShortMixte,23,0.034912930974218215
ModelNSpike,ScenarioControl,sequenceShortMixte,17,0.037936174413921844
ModelNSpike,ScenarioControl,sequenceShortMixte,24,0.037429819795492127
ModelNSpike,ScenarioControl,sequenceShortMixte,30,0.036811533193487338
ModelNSpike,ScenarioControl,sequenceShortMixte,28,0.039328646950551722
ModelNSpike,ScenarioControl,sequenceShortMixte,26,0.037139687187646514
ModelNSpike,ScenarioControl,sequenceShortMixte,27,0.037244638525949766
ModelNSpike,ScenarioControl,sequenceShortMixte,29,0.038427508578782285
ModelNSpike,ScenarioControl,sequenceShortMixte,31,0.038062647629020049
ModelNSpike,ScenarioControl,sequenceShortMixte,25,0.038374991893429342
ModelNSpike,ScenarioControl,sequenceShortMixte,32,0.03710191909102506
ModelNSpike,ScenarioControl,sequenceShortMixte,38,0.036036164261880992
ModelNSpike,ScenarioControl,sequenceShortMixte,36,0.039629092719108402
ModelNSpike,ScenarioControl,sequenceShortMixte,34,0.038220905192525738
ModelNSpike,ScenarioControl,sequenceShortMixte,35,0.036863115725796695
ModelNSpike,ScenarioControl,sequenceShortMixte,39,0.040842755275654057
ModelNSpike,ScenarioControl,sequenceShortMixte,37,0.036468740789925978
ModelNSpike,ScenarioControl,sequenceShortMixte,33,0.037869099266126485
ModelNSpike,ScenarioControl,sequenceShortMixte,40,0.036132469704663016
ModelNSpike,ScenarioControl,sequenceShortMixte,44,0.037266347017670197
ModelNSpike,ScenarioControl,sequenceShortMixte,46,0.03750645376196525
ModelNSpike,ScenarioControl,sequenceShortMixte,42,0.03832044140685624
ModelNSpike,ScenarioControl,sequenceShortMixte,45,0.037081871568273819
ModelNSpike,ScenarioControl,sequenceShortMixte,41,0.038685035422483173
ModelNSpike,ScenarioControl,sequenceShortMixte,47,0.038196450359914307
ModelNSpike,ScenarioControl,sequenceShortMixte,43,0.037707362646748031
ModelNSpike,ScenarioControl,sequenceShortMixte,48,0.036618355704691179
ModelNSpike,ScenarioControl,sequenceShortMixte,49,0.036303779919911371
